"Marca temporal","¿Cuál es su rango de edad?","¿Cuál es su nivel de formación académica?","¿Cuál es su experiencia trabajando con niños de Educación General Básica?","¿Con qué frecuencia ha utilizado herramientas tecnológicas como apoyo en procesos de enseñanza?","Creo que me gustaría utilizar este sistema con frecuencia. ","Encontré el sistema innecesariamente complejo. 
","Considero que el sistema fue fácil de utilizar. 
","Creo que necesitaría el apoyo de una persona con conocimientos técnicos para poder utilizar este sistema. 
","Considero que las diferentes funciones del sistema están bien integradas. 
","Considero que existe demasiada inconsistencia en el funcionamiento del sistema. 
","Imagino que la mayoría de las personas aprendería a utilizar este sistema rápidamente. ","Encontré el sistema complejo de iniciar. ","Me sentí seguro al utilizar o evaluar el funcionamiento del sistema. ","Necesitaría aprender muchas cosas antes de poder utilizar este sistema. ","PU1 
Considero que la propuesta constituye una herramienta útil para apoyar la enseñanza de culturas ancestrales. 
","PU2 
El uso de esta propuesta podría contribuir a mejorar la comprensión de los contenidos culturales por parte de los estudiantes. 
","PU3 
La incorporación del robot y la visión por computador aporta valor al proceso de enseñanza. 
","PU4 
El uso del sistema podría incrementar el interés y la motivación de los estudiantes durante las actividades de aprendizaje. 
","PE1 
El funcionamiento general de la propuesta resulta fácil de comprender. 
","PE2 
Considero que un docente podría aprender a utilizar el sistema en poco tiempo. 
","PE3 
La interacción entre el usuario y el sistema es clara y comprensible. 
","PE4 
La utilización de este sistema no requeriría un esfuerzo excesivo por parte del docente. 
","BI1 
Consideraría utilizar esta propuesta como recurso de apoyo en actividades educativas. 
","BI2 
Recomendaría el uso de este sistema en instituciones educativas. 
","BI3 
Si el sistema estuviera disponible, consideraría apropiada su incorporación en procesos de enseñanza relacionados con culturas ancestrales. 
","BI4 
Considero viable implementar esta propuesta en escenarios educativos reales. 
","¿Cuál considera que es la principal fortaleza de la propuesta de herramienta educativa? ","¿Que limitaciones considera que presenta esta propuesta?","¿Qué aspectos recomendaría mejorar antes de implementarlo en un entorno educativo?","¿Qué otras aplicaciones educativas considera que podría tener esta propuesta? "
"2026/07/08 5:44:04 p.m. GMT-5","31 a 40 años","Cuarto nivel (Maestría)","Entre 6 y 10 años","Muy frecuentemente","4","4","4","4","4","4","4","1","3","1","4","4","4","4","4","4","4","4","4","4","4","4","Facilitar el proceso enseñanza y aprendizaje ","Una mejor justificación teórica en cuanto a la problemática de los pueblos ","Ninguno ","Ampliación de módulos "
"2026/07/08 5:44:40 p.m. GMT-5","41 a 50 años","Cuarto nivel (Maestría)","Más de 10 años","Ocasionalmente","5","5","5","3","5","1","4","1","5","2","5","5","5","5","5","5","5","5","5","5","5","5","Es amigable, acorde a la realidad de la comunidad, ágil y óptimo para su uso ","La manipulación del cuy","Ponerle un poncho de tela","Los pictogramas a colores"
"2026/07/08 5:45:22 p.m. GMT-5","41 a 50 años","Cuarto nivel (Maestría)","Entre 1 y 5 años","Ocasionalmente","5","1","4","4","5","1","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","La tecnología ","Capacitación ","Sonidos ","Audios "
"2026/07/08 5:45:33 p.m. GMT-5","31 a 40 años","Cuarto nivel (Maestría)","Más de 10 años","Ocasionalmente","4","2","5","1","5","1","5","1","5","3","5","4","5","5","5","5","5","4","5","4","5","5","Mantener la cultura y la interacción ","El espacio, y por ahora los recursos visuales ","Más imágenes, y el tipo de pictogramas ",""
