epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8050.39,0.65747,0.39957,1.02955,0.99574,0.99684,0.995,0.93208,0.43678,0.12684,0.94388,0.0021882,0.0021882,0.0021882
43,8178.76,0.65439,0.39957,1.02661,0.99806,1,0.995,0.93262,0.43738,0.12777,0.94498,0.0021684,0.0021684,0.0021684
44,8306.42,0.65467,0.39857,1.02776,0.99566,0.99315,0.995,0.93247,0.43961,0.12859,0.9427,0.0021486,0.0021486,0.0021486
45,8434.44,0.64672,0.38982,1.02623,0.9964,0.99648,0.995,0.93439,0.42978,0.12221,0.94236,0.0021288,0.0021288,0.0021288
46,8562.15,0.65155,0.4036,1.02841,0.99583,0.9982,0.995,0.9331,0.42609,0.12137,0.94387,0.002109,0.002109,0.002109
47,8689.41,0.64285,0.40308,1.02431,0.99688,0.99084,0.995,0.93672,0.42699,0.12888,0.94159,0.0020892,0.0020892,0.0020892
48,8817.55,0.63841,0.39172,1.01872,0.99773,0.99549,0.995,0.93332,0.43279,0.1232,0.9416,0.0020694,0.0020694,0.0020694
49,8946.58,0.63211,0.39262,1.01754,0.99535,0.99881,0.995,0.93667,0.42221,0.11878,0.93524,0.0020496,0.0020496,0.0020496
50,9075.52,0.63481,0.39024,1.01973,0.9927,0.98602,0.99477,0.93764,0.42733,0.13133,0.93981,0.0020298,0.0020298,0.0020298
51,9205.39,0.62782,0.39586,1.0154,0.99281,0.99763,0.995,0.9389,0.41808,0.11968,0.93337,0.00201,0.00201,0.00201
52,9333.16,0.62957,0.3991,1.01577,0.99689,0.99698,0.995,0.93863,0.42134,0.11977,0.93326,0.0019902,0.0019902,0.0019902
53,9460.09,0.62255,0.38966,1.01338,0.99273,0.99271,0.995,0.93506,0.42323,0.12837,0.93361,0.0019704,0.0019704,0.0019704
54,9587.33,0.62325,0.39217,1.01305,0.99537,0.99027,0.99485,0.93647,0.41988,0.13365,0.93304,0.0019506,0.0019506,0.0019506
